Date_Of_Report,Time_Range,Total_Records
18.08.2025,00:00:00 to 01:00:00,102
18.08.2025,01:00:00 to 02:00:00,104
18.08.2025,02:00:00 to 03:00:00,114
18.08.2025,03:00:00 to 04:00:00,110
18.08.2025,04:00:00 to 05:00:00,112
18.08.2025,05:00:00 to 06:00:00,110
18.08.2025,06:00:00 to 07:00:00,108
18.08.2025,07:00:00 to 08:00:00,108
18.08.2025,08:00:00 to 09:00:00,112
18.08.2025,09:00:00 to 10:00:00,106
18.08.2025,10:00:00 to 11:00:00,106
18.08.2025,11:00:00 to 12:00:00,116
18.08.2025,12:00:00 to 13:00:00,112
18.08.2025,13:00:00 to 14:00:00,114
18.08.2025,14:00:00 to 15:00:00,108
18.08.2025,15:00:00 to 16:00:00,108
18.08.2025,16:00:00 to 17:00:00,108
18.08.2025,17:00:00 to 18:00:00,98
18.08.2025,18:00:00 to 19:00:00,114
18.08.2025,19:00:00 to 20:00:00,114
18.08.2025,20:00:00 to 21:00:00,111
18.08.2025,21:00:00 to 22:00:00,109
18.08.2025,22:00:00 to 23:00:00,109
18.08.2025,23:00:00 to 00:00:00,109
